"index","Country/Region/World","ISO","Sex","Year","Mean systolic blood pressure (mmHg)","Mean diastolic blood pressure (mmHg)","Prevalence of raised blood pressure","blood_pressure"
8591,"Australia","AUS","Women",1997,120.7078393,72.82346168,0.197533339,"Elevated"
8592,"Australia","AUS","Women",1998,120.3886789,72.56307653,0.193183161,"Elevated"
8593,"Australia","AUS","Women",1999,120.0674833,72.31597565,0.188812479,"Elevated"
8594,"Australia","AUS","Women",2000,119.7437412,72.08539226,0.184414836,"Normal"
8595,"Australia","AUS","Women",2001,119.4113917,71.87376211,0.179966998,"Normal"
8596,"Australia","AUS","Women",2002,119.0793667,71.68269807,0.175494334,"Normal"
8597,"Australia","AUS","Women",2003,118.7485577,71.51378993,0.171040231,"Normal"
8598,"Australia","AUS","Women",2004,118.4234823,71.36772867,0.166560816,"Normal"
8599,"Australia","AUS","Women",2005,118.1097492,71.24347217,0.162160378,"Normal"
8600,"Australia","AUS","Women",2006,117.8131334,71.13951223,0.15778699,"Normal"
8601,"Australia","AUS","Women",2007,117.5293095,71.04995719,0.153506042,"Normal"
8602,"Australia","AUS","Women",2008,117.2567852,70.97381294,0.149324416,"Normal"
8603,"Australia","AUS","Women",2009,116.9892208,70.90482434,0.145267417,"Normal"
8604,"Australia","AUS","Women",2010,116.7272039,70.83861607,0.141299037,"Normal"
8605,"Australia","AUS","Women",2011,116.4709995,70.7754308,0.13747871,"Normal"
8606,"Australia","AUS","Women",2012,116.216891,70.71144841,0.133761634,"Normal"
8607,"Australia","AUS","Women",2013,115.963885,70.64540456,0.13013288,"Normal"
8608,"Australia","AUS","Women",2014,115.7093132,70.57858316,0.126607171,"Normal"
8609,"Australia","AUS","Women",2015,115.4534577,70.51105434,0.123193455,"Normal"
